instance,n,algorithm,seed,run,tour_length,runtime_s,hk_length,hk_time_s
data200,200,NearestNeighbor,,,10452.656883794936,0.29389790003187954,,
data200,200,GeneticAlgorithm,0,0,8756.743227692012,4.068876600009389,,
data200,200,GeneticAlgorithm,1,1,8679.279981077592,5.061527400044724,,
data200,200,GeneticAlgorithm,2,2,8659.906684077576,4.731529099983163,,
data200,200,GeneticAlgorithm,3,3,8666.666675748675,4.465147199982312,,
data200,200,GeneticAlgorithm,4,4,8943.418710174194,5.611169499985408,,
data200,200,GeneticAlgorithm,5,5,8687.493859977943,4.788741199998185,,
data200,200,GeneticAlgorithmSummary,,,8732.251523124665,4.787831833333864,,
data200,200,NearestNeighbor,,,10452.656883794936,0.057067500136327,,
data200,200,GeneticAlgorithm,0,0,8756.743227692012,2.5738595000002533,,
data200,200,GeneticAlgorithm,1,1,8679.279981077592,2.5471163000329398,,
data200,200,GeneticAlgorithm,2,2,8659.906684077576,2.409776000014972,,
data200,200,GeneticAlgorithm,3,3,8666.666675748675,2.532948700012639,,
data200,200,GeneticAlgorithm,4,4,8943.418710174194,2.51458299998194,,
data200,200,GeneticAlgorithm,5,5,8687.493859977943,2.551673199981451,,
data200,200,GeneticAlgorithmSummary,,,8732.251523124665,2.5216594500040324,,
data40,40,NearestNeighbor,,,4120.269947160752,0.002480100025422871,,
data40,40,GeneticAlgorithm,0,0,3814.974096260767,0.19577160000335425,,
data40,40,GeneticAlgorithm,1,1,3814.974096260767,0.19065060000866652,,
data40,40,GeneticAlgorithm,2,2,3814.974096260767,0.18744090001564473,,
data40,40,GeneticAlgorithm,3,3,3814.974096260767,0.1939913000096567,,
data40,40,GeneticAlgorithm,4,4,3814.974096260767,0.19756470003630966,,
data40,40,GeneticAlgorithm,5,5,3814.974096260767,0.202615300018806,,
data40,40,GeneticAlgorithmSummary,,,3814.974096260767,0.1946724000154063,,
data40,40,NearestNeighbor,,,4120.269947160752,0.002481500036083162,,
data40,40,GeneticAlgorithm,0,0,3814.974096260767,0.2036388000124134,,
data40,40,GeneticAlgorithm,1,1,3814.974096260767,0.19876469997689128,,
